class,path,width,height,alpha_bbox,pair_key,source
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/26_corner_chevron_orange.png,190,143,"0,0,190,137",26_corner_chevron_orange,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/26_corner_chevron_orange.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/03_player1_nameplate_frame.png,745,140,"0,0,742,140",03_player1_nameplate_frame,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/03_player1_nameplate_frame.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/34_energy_streak_orange.png,85,139,"0,0,85,139",34_energy_streak_orange,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/34_energy_streak_orange.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/25_corner_bracket_blue.png,190,175,"0,0,190,175",25_corner_bracket_blue,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/25_corner_bracket_blue.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/21_portrait_ring_p2.png,250,235,"0,0,250,235",21_portrait_ring_p2,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/21_portrait_ring_p2.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/27_empty_plate_blue.png,350,95,"0,0,350,95",27_empty_plate_blue,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/27_empty_plate_blue.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/17_ability_icon_blue.png,140,153,"0,6,140,153",17_ability_icon_blue,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/17_ability_icon_blue.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/18_ability_icon_green.png,140,150,"0,6,140,150",18_ability_icon_green,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/18_ability_icon_green.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/30_p1_badge.png,190,170,"0,0,190,170",30_p1_badge,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/30_p1_badge.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/16_ability_icon_purple.png,135,155,"0,0,135,155",16_ability_icon_purple,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/16_ability_icon_purple.png
